meter_id,timestamp,voltage,current,active_power,total_energy
METER_001,2023-01-01 00:00:00,224.02,1.4,0.31,3174.67
METER_001,2023-01-01 01:00:00,219.96,2.06,0.45,3175.12
METER_001,2023-01-01 02:00:00,222.0,1.13,0.25,3175.37
METER_001,2023-01-01 03:00:00,224.12,1.72,0.39,3175.76
METER_001,2023-01-01 04:00:00,220.19,0.55,0.12,3175.88
METER_001,2023-01-01 05:00:00,217.5,1.98,0.43,3176.31
METER_001,2023-01-01 06:00:00,218.99,0.69,0.15,3176.46
METER_001,2023-01-01 07:00:00,215.3,11.78,2.54,3178.99
METER_001,2023-01-01 08:00:00,223.84,9.5,2.13,3181.12
METER_001,2023-01-01 09:00:00,216.61,8.25,1.79,3182.91
METER_001,2023-01-01 10:00:00,216.1,0.47,0.1,3183.01
METER_001,2023-01-01 11:00:00,219.3,1.43,0.31,3183.32
METER_001,2023-01-01 12:00:00,219.38,1.06,0.23,3183.55
METER_001,2023-01-01 13:00:00,215.51,0.75,0.16,3183.72
METER_001,2023-01-01 14:00:00,223.22,0.98,0.22,3183.94
METER_001,2023-01-01 15:00:00,219.24,1.52,0.33,3184.27
METER_001,2023-01-01 16:00:00,222.77,0.89,0.2,3184.47
METER_001,2023-01-01 17:00:00,223.95,1.46,0.33,3184.79
METER_001,2023-01-01 18:00:00,224.57,15.64,3.51,3188.31
METER_001,2023-01-01 19:00:00,220.25,10.06,2.22,3190.52
METER_001,2023-01-01 20:00:00,222.35,14.83,3.3,3193.82
METER_001,2023-01-01 21:00:00,216.33,15.86,3.43,3197.25
METER_001,2023-01-01 22:00:00,219.88,17.43,3.83,3201.08
METER_001,2023-01-01 23:00:00,221.3,1.76,0.39,3201.47
METER_001,2023-01-02 00:00:00,218.81,0.65,0.14,3201.61
METER_001,2023-01-02 01:00:00,222.92,1.83,0.41,3202.02
METER_001,2023-01-02 02:00:00,219.47,0.94,0.21,3202.23
METER_001,2023-01-02 03:00:00,224.84,1.15,0.26,3202.49
METER_001,2023-01-02 04:00:00,216.24,0.75,0.16,3202.65
METER_001,2023-01-02 05:00:00,221.79,1.09,0.24,3202.89
METER_001,2023-01-02 06:00:00,220.05,0.63,0.14,3203.03
METER_001,2023-01-02 07:00:00,221.28,16.37,3.62,3206.65
METER_001,2023-01-02 08:00:00,215.64,9.21,1.99,3208.64
METER_001,2023-01-02 09:00:00,219.36,17.13,3.76,3212.4
METER_001,2023-01-02 10:00:00,224.44,0.49,0.11,3212.51
METER_001,2023-01-02 11:00:00,222.28,0.73,0.16,3212.67
METER_001,2023-01-02 12:00:00,217.53,0.53,0.11,3212.78
METER_001,2023-01-02 13:00:00,216.19,1.57,0.34,3213.12
METER_001,2023-01-02 14:00:00,216.84,2.3,0.5,3213.62
METER_001,2023-01-02 15:00:00,216.66,1.76,0.38,3214.0
METER_001,2023-01-02 16:00:00,223.27,1.92,0.43,3214.43
METER_001,2023-01-02 17:00:00,218.83,2.03,0.44,3214.87
METER_001,2023-01-02 18:00:00,220.2,11.28,2.48,3217.36
METER_001,2023-01-02 19:00:00,220.67,7.76,1.71,3219.07
METER_001,2023-01-02 20:00:00,216.34,7.38,1.6,3220.67
METER_001,2023-01-02 21:00:00,223.49,7.8,1.74,3222.41
METER_001,2023-01-02 22:00:00,223.27,7.95,1.77,3224.19
METER_001,2023-01-02 23:00:00,222.13,1.09,0.24,3224.43
METER_001,2023-01-03 00:00:00,216.55,2.13,0.46,3224.89
METER_001,2023-01-03 01:00:00,217.74,0.52,0.11,3225.0
METER_001,2023-01-03 02:00:00,220.95,1.38,0.31,3225.31
METER_001,2023-01-03 03:00:00,215.71,1.01,0.22,3225.52
METER_001,2023-01-03 04:00:00,223.84,1.16,0.26,3225.78
METER_001,2023-01-03 05:00:00,216.75,0.79,0.17,3225.95
METER_001,2023-01-03 06:00:00,216.17,1.51,0.33,3226.28
METER_001,2023-01-03 07:00:00,215.68,8.67,1.87,3228.15
METER_001,2023-01-03 08:00:00,217.72,9.59,2.09,3230.24
METER_001,2023-01-03 09:00:00,215.01,16.87,3.63,3233.87
METER_001,2023-01-03 10:00:00,223.17,2.02,0.45,3234.32
METER_001,2023-01-03 11:00:00,218.95,1.53,0.34,3234.65
METER_001,2023-01-03 12:00:00,219.67,0.7,0.15,3234.8
METER_001,2023-01-03 13:00:00,220.08,0.7,0.15,3234.96
METER_001,2023-01-03 14:00:00,218.6,1.69,0.37,3235.33
METER_001,2023-01-03 15:00:00,218.39,2.18,0.48,3235.8
METER_001,2023-01-03 16:00:00,222.0,1.0,0.22,3236.02
METER_001,2023-01-03 17:00:00,221.64,1.91,0.42,3236.45
METER_001,2023-01-03 18:00:00,223.83,7.91,1.77,3238.22
METER_001,2023-01-03 19:00:00,222.27,15.13,3.36,3241.58
METER_001,2023-01-03 20:00:00,223.84,9.61,2.15,3243.73
METER_001,2023-01-03 21:00:00,223.32,11.48,2.56,3246.3
METER_001,2023-01-03 22:00:00,221.93,14.88,3.3,3249.6
METER_001,2023-01-03 23:00:00,217.75,2.22,0.48,3250.08
METER_001,2023-01-04 00:00:00,221.21,1.02,0.23,3250.31
METER_001,2023-01-04 01:00:00,222.41,1.61,0.36,3250.67
METER_001,2023-01-04 02:00:00,220.97,1.09,0.24,3250.91
METER_001,2023-01-04 03:00:00,219.35,1.19,0.26,3251.17
METER_001,2023-01-04 04:00:00,215.81,0.5,0.11,3251.28
METER_001,2023-01-04 05:00:00,221.65,2.06,0.46,3251.73
METER_001,2023-01-04 06:00:00,222.32,0.89,0.2,3251.93
METER_001,2023-01-04 07:00:00,217.25,12.59,2.74,3254.67
METER_001,2023-01-04 08:00:00,215.5,16.58,3.57,3258.24
METER_001,2023-01-04 09:00:00,220.24,13.54,2.98,3261.22
METER_001,2023-01-04 10:00:00,219.53,1.93,0.42,3261.64
METER_001,2023-01-04 11:00:00,221.95,0.97,0.22,3261.86
METER_001,2023-01-04 12:00:00,216.81,1.81,0.39,3262.25
METER_001,2023-01-04 13:00:00,215.29,1.03,0.22,3262.47
METER_001,2023-01-04 14:00:00,216.24,1.5,0.32,3262.8
METER_001,2023-01-04 15:00:00,221.32,1.62,0.36,3263.16
METER_001,2023-01-04 16:00:00,216.62,1.29,0.28,3263.44
METER_001,2023-01-04 17:00:00,220.28,0.9,0.2,3263.63
METER_001,2023-01-04 18:00:00,218.4,16.54,3.61,3267.25
METER_001,2023-01-04 19:00:00,216.52,10.49,2.27,3269.52
METER_001,2023-01-04 20:00:00,220.27,11.43,2.52,3272.03
METER_001,2023-01-04 21:00:00,215.01,14.87,3.2,3275.23
METER_001,2023-01-04 22:00:00,215.11,7.68,1.65,3276.88
METER_001,2023-01-04 23:00:00,222.41,1.46,0.32,3277.21
METER_001,2023-01-05 00:00:00,223.19,0.91,0.2,3277.41
METER_001,2023-01-05 01:00:00,215.89,1.02,0.22,3277.63
METER_001,2023-01-05 02:00:00,222.37,1.73,0.39,3278.02
